幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,27.52000,27.84500,27.86500,27.86500,27.86000,27.85500,27.85000,27.84100,27.83400,本行賣出,28.19000,27.99500,27.97100,27.97100,27.97100,27.97000,27.97000,27.96900,27.96700,
HKD,本行買入,3.43000,3.55100,3.55400,3.55300,3.55300,3.55300,3.55200,3.55100,3.55100,本行賣出,3.63400,3.62100,3.61500,3.61600,3.61600,3.61600,3.61600,3.61700,3.61700,
GBP,本行買入,37.26000,38.15500,38.11600,38.10800,38.10900,38.10800,38.10100,38.09500,38.08800,本行賣出,39.38000,38.78500,38.52600,38.53700,38.53800,38.53900,38.54500,38.55100,38.55700,
AUD,本行買入,20.03000,20.24500,20.14800,20.14500,20.14600,20.14800,20.14400,20.14300,20.14000,本行賣出,20.81000,20.59000,20.35400,20.36100,20.36400,20.36500,20.36900,20.37700,20.37800,
CAD,本行買入,21.65000,21.98000,21.94700,21.94100,21.93900,21.93700,21.93200,21.92600,21.92100,本行賣出,22.56000,22.31000,22.15300,22.15800,22.15700,22.15500,22.15700,22.15900,22.16100,
SGD,本行買入,20.17000,20.64000,20.57700,20.57000,20.56800,20.56700,20.56000,20.55400,20.54800,本行賣出,21.08000,20.86000,20.76200,20.76700,20.76600,20.76400,20.76500,20.76500,20.76600,
CHF,本行買入,29.82000,30.43000,30.32200,30.32600,30.34900,30.37200,30.38900,30.40600,30.42400,本行賣出,31.02000,30.82000,30.58400,30.61200,30.63600,30.65800,30.68800,30.71900,30.74900,
JPY,本行買入,0.24490,0.25190,0.25160,0.25160,0.25160,0.25170,0.25170,0.25180,0.25180,本行賣出,0.25770,0.25650,0.25570,0.25580,0.25580,0.25590,0.25600,0.25620,0.25630,
ZAR,本行買入,0.00000,1.85100,1.83200,1.82600,1.81800,1.81000,1.80200,1.79400,1.78600,本行賣出,0.00000,1.94100,1.91300,1.90900,1.90100,1.89400,1.88700,1.87900,1.87200,
SEK,本行買入,2.85000,3.18000,3.16000,3.15900,3.15900,3.16000,3.16000,3.16000,3.16100,本行賣出,3.37000,3.30000,3.26100,3.26300,3.26400,3.26400,3.26600,3.26700,3.26800,
NZD,本行買入,19.09000,19.42000,19.31700,19.31000,19.30500,19.29900,19.28600,19.27200,19.25900,本行賣出,19.94000,19.72000,19.52200,19.52700,19.52200,19.51600,19.51000,19.50300,19.49700,
THB,本行買入,0.73030,0.83970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.92030,0.88570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.48640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.61940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,32.12000,32.63500,32.64100,32.64400,32.66000,32.67700,32.69100,32.70500,32.71800,本行賣出,33.46000,33.23500,33.05200,33.07700,33.09700,33.11800,33.14800,33.17800,33.20800,
KRW,本行買入,0.02229,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02619,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.65200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.13200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.22500,4.29200,4.28080,4.27240,4.26080,4.24970,4.23800,4.22630,4.21470,本行賣出,4.38700,4.35200,4.33240,4.32720,4.31820,4.30950,4.30160,4.29370,4.28580,
